year,residential_gwh,public_gwh,other_gwh,industrial_gwh,agriculture_gwh,street_lighting_gwh,total_gwh
1378,29754,10622,5567,26504,8019,4190,84656
1379,31266,11271,5991,28937,9147,3754,90366
1380,32891,11951,6394,30739,11079,4117,97171
1381,34946,12630,6925,33469,12435,4671,105076
1382,37967,13714,7461,36951,13859,4672,114625
1383,40563.9,15020.6,7862.65,40342.9,15489.1,5188.03,124466
1384,44108.2,16350,8541.74,43123,16469.4,4305.4,132898
1385,48085,18329,9320,46590,17666,4608,144598
1386,50777,19648,9953,49772,17670,4510,152330
1387,52896,20428,10742,52110,21179,4091,161446
1388,55630,21827,11015,54887,21405,3674,168438
1389,60908,21308,12727,61483,24189,3568,184182
1390,56774,16751,12664,63944,30020,3752,183904
1391,61351,17810,12599,67107,31647,3635,194148
1392,64379,17833,13378,70733,33126,3765,203215
1393,71163,19767,15404,74456,35188,3837,219814
1394,76103,22196,16680,72705,36089,4017,227790
1395,78378,22914,17620,77727,36222,4699,237560
1396,83403,24328,18681,84145,39379,5017,254953
1397,85099,24073,18990,88541,38033,4988,259723
1398,88500,25589,20143,97081,38764,5017,275094
