entity,year,electricity_generation,electricity_demand,population
IRN,1985,38.915,,4.95823e+07
IRN,1986,42.186,,5.1446e+07
IRN,1987,45.062,,5.33235e+07
IRN,1988,46.97,,5.50727e+07
IRN,1989,51.431,,5.67049e+07
IRN,1990,57.655,,5.83801e+07
IRN,1991,62.814,,5.99869e+07
IRN,1992,67.178,,6.1185e+07
IRN,1993,74.686,,6.14035e+07
IRN,1994,81.004,,6.15206e+07
IRN,1995,84.353,,6.22056e+07
IRN,1996,89.74,,6.28813e+07
IRN,1997,96.983,,6.36396e+07
IRN,1998,102.385,,6.45199e+07
IRN,1999,110.088,,6.54454e+07
IRN,2000,119.35,118.67,6.64187e+07
IRN,2001,127.59,127.29,6.7452e+07
IRN,2002,138.23,138.41,6.80113e+07
IRN,2003,151.65,152.22,6.87693e+07
IRN,2004,162.76,163.09,7.02563e+07
IRN,2005,177.07,176.39,7.18285e+07
IRN,2006,193.43,193.2,7.33927e+07
IRN,2007,203.12,202.44,7.46026e+07
IRN,2008,210.49,208.3,7.55142e+07
IRN,2009,221.81,217.73,7.64578e+07
IRN,2010,235.68,231.99,7.74209e+07
IRN,2011,235.59,230.58,7.83836e+07
IRN,2012,248.74,241.61,7.93706e+07
IRN,2013,258.86,250.98,8.04147e+07
IRN,2014,275.63,269.74,8.1502e+07
IRN,2015,280.24,277.57,8.26194e+07
IRN,2016,286.14,283.67,8.38122e+07
IRN,2017,305.17,300.85,8.50268e+07
IRN,2018,312.35,308.64,8.6118e+07
IRN,2019,318.88,312.02,8.70516e+07
IRN,2020,337.21,330.41,8.77234e+07
IRN,2021,356.41,349.61,8.84555e+07
IRN,2022,367.06,360.61,8.95242e+07
IRN,2023,382.02,375.29,9.06087e+07
IRN,2024,395.79,393.39,9.15677e+07
IRN,2025,395.78,395.6,9.24177e+07
WLD,1985,9886.06,,4.86894e+09
WLD,1986,10180.8,,4.95807e+09
WLD,1987,10670.6,,5.04975e+09
WLD,1988,11140.6,,5.14199e+09
WLD,1989,11658,,5.23443e+09
WLD,1990,11961.4,,5.3278e+09
WLD,1991,12222.5,,5.41874e+09
WLD,1992,12336.4,,5.50599e+09
WLD,1993,12599.9,,5.59154e+09
WLD,1994,12923.6,,5.67555e+09
WLD,1995,13381.9,,5.75888e+09
WLD,1996,13797.2,,5.84206e+09
WLD,1997,14128.6,,5.92479e+09
WLD,1998,14511,,6.00707e+09
WLD,1999,14926.3,,6.08901e+09
WLD,2000,15278.8,15278.8,6.1717e+09
WLD,2001,15500.8,15500.8,6.25494e+09
WLD,2002,16049.9,16049.9,6.33773e+09
WLD,2003,16628,16628,6.42036e+09
WLD,2004,17415,17415,6.50338e+09
WLD,2005,18134.1,18134.1,6.58697e+09
WLD,2006,18839,18839,6.67145e+09
WLD,2007,19714,19714,6.75731e+09
WLD,2008,20102.6,20102.6,6.84446e+09
WLD,2009,19943.5,19943.5,6.93277e+09
WLD,2010,21263.8,21263.8,7.02173e+09
WLD,2011,21972,21972,7.11092e+09
WLD,2012,22515.7,22515.7,7.2012e+09
WLD,2013,23155,23155,7.29179e+09
WLD,2014,23747.1,23747.1,7.38162e+09
WLD,2015,24002.3,24002.3,7.47049e+09
WLD,2016,24694.5,24694.5,7.55855e+09
WLD,2017,25441,25441,7.64562e+09
WLD,2018,26464.5,26464.5,7.7299e+09
WLD,2019,26832.4,26832.4,7.81129e+09
WLD,2020,26723.4,26723.4,7.887e+09
WLD,2021,28259.1,28259.1,7.95445e+09
WLD,2022,28917.8,28917.8,8.02141e+09
WLD,2023,29665.3,29665.3,8.09173e+09
WLD,2024,30930.2,30930.2,8.16197e+09
WLD,2025,31772.3,31772.3,8.23161e+09
