year,peak_month,cap_grid_mw,cap_offgrid_mw,cap_total_mw,supplied_max_mw,demand_max_mw,industry_at_peak_mw,load_factor_pct
1346,تیر,285,243,528,528,,,39.8
1347,مرداد,340,269,609,609,,,45.6
1348,تیر,390,393,783,783,,,46.6
1349,مرداد,604,394,998,998,,,48.7
1350,مهر,912,327,1239,1239,,,50.6
1351,بهمن,1052,409,1461,1461,,,53.7
1352,شهریور,1391,450,1841,1841,,,57.8
1353,شهریور,1658,528,2186,2186,,,58.3
1354,تیر,1946,626,2572,2572,,,56.6
1355,تیر,2095,642,2737,2737,,,59.2
1356,شهریور,2195,618,2813,2813,,,62.5
1357,تیر,2862,624,3486,3486,,,56.9
1358,مرداد,3119,502,3621,3621,,,61.2
1359,تیر,3526,617,4143,4143,,,54.7
1360,بهمن,3536,693,4229,4229,,,60.5
1361,بهمن,4186,737,4923,4923,,,61
1362,مرداد,4702,880,5582,5582,,,62.2
1363,تیر,5353,980,6333,6333,,,61.5
1364,مرداد,5419,1187,6606,6606,,,63.5
1365,تیر,6678,786,7464,7464,,,59.7
1366,شهریور,6849,894,7743,7743,,,62.4
1367,شهریور,6885,877,7762,7762,,,64.4
1368,مرداد,8003,908,8911,8911,,,62.4
1369,شهریور,8541,996,9537,9537,10392,272,66.1
1370,مرداد,9823,1116,10939,10939,11209,483,62.1
1371,مرداد,10702,1248,11950,11950,12065,684,60.9
1372,مرداد,12004,1304,13308,13308,13384,669,62.9
1373,مرداد,13043,1301,14344,14344,14369,956,61
1374,مرداد,13876,1367,15243,15243,15251,1203,59.8
1375,مرداد,14562,1465,16027,16027,16109,1247,60.8
1376,تیر,15731,1633,17364,17364,17513,1301,60.9
1377,تیر,16372,1716,18088,18088,18821,807,61.8
1378,مرداد,18893,345,19238,19402,19805,923,63.6
1379,تیر,20548,61,20609,20716,21347,1166,64
1380,مرداد,21790,63,21853,22169,23062,1069,64.9
1381,مرداد,23414,80,23494,23765,24750,942,66.9
1382,مرداد,26140,76,26216,26703,27107,1325,65.2
1383,مرداد,27520,80,27600,28224,29267,1557,67.2
1384,مرداد,30669,85,30754,31306,32302,1525,66.1
1385,شهریور,33261,89,33350,34069,34594,1780,65.9
1386,مرداد,34478,103,34581,34850,34983,1952,67.3
1387,تیر,34167,103,34270,34333,37651,1981,71.3
1388,مرداد,37472,108,37580,37878,37878,2649,67
1389,مرداد,38778,113,38891,39441,40239,1938,68.4
1390,مرداد,42126,119,42245,42367,42367,2628,64.9
1391,مرداد,43121,122,43243,43459,43459,2896,66.9
1392,تیر,45529,130,45659,46474,46474,2831,65.6
1393,مرداد,47268,139,47407,46828,48937,2659,67.1
1394,مرداد,49075,155,49230,49351,50321,3333,65.2
1395,تیر,51422,157,51579,52151,53198,3580,63.8
1396,مرداد,53842,174,54016,54623,55616,3913,65.1
1397,تیر,48659,172,53563,53701,57270,3688,72.3
1398,تیر,56856,179,57035,57104,57861,3916,65.4
1399,تیر,57910,189,58099,58443,64043,4563,67.1
1400,تیر,57280,189,57470,55279,67205,2740,73.7
1401,مرداد,59904,197,60101,59967,69657,31193,70.2
1402,مرداد,62497,200,62698,61220,73663,4407,72.4
1403,تیر,64441,194,64635,62508,80065,3690,72.3
