year,loss_total_pct,loss_transmission_pct,loss_distribution_pct,thermal_efficiency_pct,capacity_per_capita_w,generation_per_capita_kwh,share_residential_pct,share_industrial_pct,share_other_pct,share_nonthermal_pct,share_thermal_pct
1346,15.2,,,23.4,35,70,32.4,34.5,33.1,35.7,64.3
1347,14.1,,,24.2,37,89,32.6,33.5,33.9,35.2,64.8
1348,14,,,25.8,47,114,26.4,35.4,38.2,41.8,58.2
1349,13.6,,,27,49,148,23.3,41.1,35.6,39.2,60.8
1350,13.4,,,27.4,68,186,21.8,45,33.2,48.8,51.2
1351,12.7,,,28.9,69,227,21.3,48,30.7,51.4,48.6
1352,11.2,,,30.3,90,300,18.3,51.9,29.8,30.5,69.5
1353,12.7,,,32.2,101,349,17.7,54.6,27.7,30.6,69.4
1354,13,,,30.6,105,389,19.5,50.6,29.9,27,73
1355,12.2,,,30.2,109,422,22.3,47.5,30.2,28,72
1356,12.4,,,28.8,159,450,24.8,45.1,30.1,26.7,73.3
1357,13.8,,,26.5,193,478,26.8,41.2,32,36,64
1358,12.6,,,27.5,209,514,29.5,38.4,32.1,27.9,72.1
1359,13.7,,,28.2,245,506,31.2,33,35.8,28.3,71.7
1360,14.7,,,29.1,251,549,31.9,34.7,33.4,27.8,72.2
1361,13.4,,,30.1,243,621,33.8,29.8,36.4,24.5,75.5
1362,13.3,,,30.2,248,692,35.2,31,33.8,20.3,79.7
1363,13.9,,,30.5,249,744,35.7,30.6,33.7,16.9,83.1
1364,13.7,,,30,260,772,36.7,28.7,34.6,15.1,84.9
1365,12,,,30.6,263,790,38.1,26.7,35.2,19.3,80.7
1366,13.3,,,30.3,263,840,39.3,22.6,38.1,19.7,80.3
1367,12.6,,,30.5,264,843,38.7,21.7,39.6,16.7,83.3
1368,14.7,,,31.2,272,916,39.5,21.2,39.3,15.4,84.6
1369,14.4,,,30.9,272,1007,38.5,22.7,38.8,11.1,88.9
1370,12.7,,,31.2,266,1069,38.9,21.6,39.5,11.8,88.2
1371,13,,,31.1,288,1129,37.3,25.4,37.3,14.9,85.1
1372,14.5,,,31.8,317,1241,37,25,38,13.8,86.2
1373,15.5,,,32,350,1322,35.3,32.2,32.5,9.7,90.3
1374,15.2,,,32.3,370,1353,35.5,32.5,32,9.1,90.9
1375,13.1,,,32.8,373,1429,34.4,32.9,32.7,8.6,91.4
1376,15,,,30.6,382,1515,36.2,32.3,31.5,7.5,92.5
1377,15.5,,,33.6,395,1583,36.7,30.8,32.5,7.2,92.8
1378,15.7,,,35.1,402,1709,34.8,31,34.2,4.6,95.4
1379,16.6,,,36.7,427,1860,34.6,32,33.4,3.2,96.8
1380,17.6,,,5,14.4,35.6,449,1971,33.9,31.6,34.5
1381,18,,,5.3,15,35.7,481,2103,33.3,31.9,34.8
1382,18.4,,,4.3,16.1,37.2,516,2251,33.1,32.2,34.7
1383,18.7,,,4.9,16.4,36.5,553,2414,32.6,32.4,35
1384,19.5,,,4.2,18.1,35.8,604,2621,33.2,32.4,34.4
1385,19.7,4.3,18,35.5,640,2732,33.3,32.2,34.5,9.5,90.5
1386,19.9,4.85,17.87,35.8,697,2877,33.4,32.6,34,8.9,91.1
1387,18.6,3.9,17.5,36,738,2987,32.8,32.1,35.1,2.3,97.7
1388,17,4.1,16.1,36,774,3048,33.2,32.2,34.6,3.4,96.6
1389,15.5,3.6,14.8,36.6,831,3165,33.1,33.4,33.5,4.2,95.8
1390,14.98,3.43,14.74,36.9,866,3190,30.9,34.8,34.3,5.3,94.7
1391,15.16,3.53,15.03,37.2,902,3325,31.6,34.6,33.8,5.7,94.3
1392,14.78,3.35,14.83,37,908,3388,31.7,34.8,33.5,7.4,92.6
1393,13.13,3.02,12.93,36.3,934,3505,32.4,33.8,33.8,6.8,93.2
1394,12.3,2.89,11.93,37.4,935,3542,33.5,31.8,34.8,6.2,93.8
1395,12.07,2.88,11.54,37.8,945,3578,33,32.7,34.3,8.1,91.9
1396,11.36,2.84,10.79,37.6,963,3765,32.7,33,34.3,7.5,92.5
1397,10.98,2.81,10.41,38.1,972,3735,32.8,34.1,33.1,7.7,92.3
1398,10.32,2.76,9.76,38.6,997,3896,32.3,35,32.7,11.9,88.1
1399,9.99,2.77,9.52,39,1017,4074,31.7,37.2,31.1,8.4,91.6
1400,10.26,2.7,9.95,39,1033,4235,32.1,35.9,31.9,5.1,94.9
1401,10.31,2.48,10.12,39.1,1072,4357,31.04,36.5,32.46,6.2,93.8
1402,10.09,2.63,9.67,39.34,1083,4523,31,36.6,32.4,7.7,92.3
1403,10.32,2.85,9.62,39.65,1101,4602,31.67,35.18,33.16,7.1,92.9
