year,month_no,month,peak_mw,day,time
1404,1,فروردین,51302,25,19:28
1404,2,اردیبهشت,65566,31,12:27
1404,3,خرداد,68999,25,14:48
1404,4,تیر,76805,30,13:46
1404,5,مرداد,77497,7,13:59
1404,6,شهریور,73569,8,14:29
1404,7,مهر,57410,1,19:17
1404,8,آبان,50324,3,17:50
1404,9,آذر,47608,11,17:32
1404,10,دی,47598,29,18:32
1404,11,بهمن,46743,1,18:04
1404,12,اسفند,46204,4,19:19
1405,1,فروردین,43536,31,19:43
1405,2,اردیبهشت,55066,23,14:11
1405,3,خرداد,70863,31,14:26
1405,4,تیر,75148,28,15:28
1405,5,مرداد,75851,5,15:35
