year,indicator,value,unit
1403,available_power_at_peak_mw,62058,MW
1404,available_power_at_peak_mw,62577,MW
1399,exports_gwh,9470,GWh
1400,exports_gwh,5719,GWh
1401,exports_gwh,4937,GWh
1402,exports_gwh,4883,GWh
1403,exports_gwh,5376,GWh
1404,exports_gwh,1601,GWh
1400,imports_gwh,3014,GWh
1401,imports_gwh,4041,GWh
1402,imports_gwh,3234,GWh
1403,imports_gwh,3376,GWh
1404,imports_gwh,3348,GWh
1400,losses_pct,10.26,percent
1401,losses_pct,10.31,percent
1402,losses_pct,10.09,percent
1403,losses_pct,10.32,percent
1403,peak_demand_mw,79872,MW
1404,peak_demand_mw,77498,MW
1403,thermal_efficiency_pct,42.6678,percent
1404,thermal_efficiency_pct,42,percent
