year,cap_total_mw,supplied_max_mw,demand_max_mw,deficit_mw,deficit_pct
1369,9537,9537,10392,855,8.22748
1370,10939,10939,11209,270,2.40878
1371,11950,11950,12065,115,0.95317
1372,13308,13308,13384,76,0.567842
1373,14344,14344,14369,25,0.173986
1374,15243,15243,15251,8,0.0524556
1375,16027,16027,16109,82,0.509032
1376,17364,17364,17513,149,0.850797
1377,18088,18088,18821,733,3.89459
1378,19238,19402,19805,403,2.03484
1379,20609,20716,21347,631,2.95592
1380,21853,22169,23062,893,3.87217
1381,23494,23765,24750,985,3.9798
1382,26216,26703,27107,404,1.49039
1383,27600,28224,29267,1043,3.56374
1384,30754,31306,32302,996,3.0834
1385,33350,34069,34594,525,1.5176
1386,34581,34850,34983,133,0.380185
1387,34270,34333,37651,3318,8.81251
1388,37580,37878,37878,0,0
1389,38891,39441,40239,798,1.98315
1390,42245,42367,42367,0,0
1391,43243,43459,43459,0,0
1392,45659,46474,46474,0,0
1393,47407,46828,48937,2109,4.30962
1394,49230,49351,50321,970,1.92762
1395,51579,52151,53198,1047,1.96812
1396,54016,54623,55616,993,1.78546
1397,53563,53701,57270,3569,6.23188
1398,57035,57104,57861,757,1.30831
1399,58099,58443,64043,5600,8.74413
1400,57470,55279,67205,11926,17.7457
1401,60101,59967,69657,9690,13.911
1402,62698,61220,73663,12443,16.8918
1403,64635,62508,80065,17557,21.9284
1404,,62577,77498,14921,19.2534
